DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY,HOUR
7,1760,0000000,1,36.10456389,1,12,7,0,99,1,0,99,47,0,US-SR11,,3,0,0,1,99,2,1,1,0,37,2010,4,470430,0,99,90,1,2,0,99,2,0,99,-86.74195833,10,14
5,1760,0000000,0,36.20675,1,8,0,0,88,1,1,99,47,0,US-SR65,,1,0,0,1,99,2,0,1,0,37,2010,5,470431,0,99,7,3,1,0,88,1,0,99,-86.7802,20,0
5,1760,0000000,7,36.15009722,1,12,20,0,88,1,0,99,47,0,I-40,,2,0,0,1,99,1,0,1,0,37,2010,5,470440,0,99,180,3,2,0,88,2,1,99,-86.78426944,13,4
1,1760,0000000,6,36.03462778,1,12,24,0,99,1,0,99,47,0,SR-100,,4,0,0,1,99,3,0,1,0,37,2010,6,470445,0,99,45,1,2,0,99,2,0,99,-86.97297222,6,10
6,1760,0000000,2,36.10566111,1,12,2,0,99,1,0,99,47,0,BELL ROAD,,2,0,0,1,99,6,0,1,0,37,2010,6,470447,0,99,26,1,2,0,99,2,0,99,-86.62904722,11,13
7,1760,0000000,2,36.09897778,1,12,41,0,99,1,0,99,47,0,I-65,,7,0,0,1,99,1,1,1,0,37,2010,7,470511,0,99,47,3,2,0,99,2,1,99,-86.76366944,3,1
1,1760,0000000,1,36.13454722,1,12,52,0,99,1,0,99,47,0,I-24,,2,0,0,1,99,1,1,1,0,37,2010,2,470580,0,99,239,2,2,0,99,2,1,99,-86.72672778,28,2
2,1760,0000000,0,36.23896111,2,1,30,0,88,2,0,99,47,0,SR-155,,1,0,0,1,99,3,0,1,0,37,2010,6,470590,0,99,146,1,1,0,88,1,1,99,-86.74145833,28,15
7,1760,0000000,1,36.13553611,1,12,12,0,99,1,0,99,47,0,MAGNOLIA BOULEVARD,18TH AVENUE S,4,0,0,1,99,6,0,1,0,37,2010,7,470603,0,99,15,1,2,0,99,2,0,99,-86.79715556,10,14
7,1760,0000000,0,36.18016389,1,30,8,0,88,1,0,99,47,0,NORTH NEW HOPE ROAD,,1,0,0,1,99,6,1,4,0,37,2010,8,470606,0,99,5,2,1,0,88,1,0,99,-86.58216944,14,4
6,1760,0000000,0,36.10399444,1,30,41,0,88,1,0,99,47,0,US-SR1,,1,0,0,1,99,2,1,3,0,37,2010,5,470607,0,99,251,3,1,0,88,1,0,99,-86.66765556,28,2
6,1760,0000000,0,36.16639722,1,8,1,0,99,1,1,99,47,0,CHARLOTTE AVENUE,4TH AVENUE N,1,0,0,1,99,6,0,1,0,37,2010,6,470608,0,99,8,1,1,0,99,1,0,99,-86.78065833,25,11
4,1760,0000000,0,36.08233056,2,8,23,0,99,2,2,99,47,0,US-SR11,,1,0,0,1,99,2,0,1,0,37,2010,8,470642,0,99,72,3,1,0,99,1,0,99,-86.72715556,18,23
1,1760,0000000,0,36.26237222,1,8,40,0,99,1,1,99,47,0,SR-45,EAGAN CIRCLE,1,0,0,1,99,3,1,1,0,37,2010,8,470647,0,99,91,3,1,0,99,1,1,99,-86.67925278,22,1
1,1760,0000000,0,36.23810833,1,23,26,0,2,1,0,99,47,0,I-24,,5,0,0,1,99,1,1,3,0,37,2010,1,470682,0,99,119,2,1,0,48,1,1,99,-86.78602222,31,2
3,1760,0000000,2,36.17093056,1,12,0,0,7,1,0,99,47,0,CENTENNIAL BOULEVARD,,2,0,0,1,99,6,0,1,0,37,2010,9,470684,0,99,28,1,2,0,15,2,0,99,-86.86286667,21,7
3,1760,0000000,0,36.20235278,1,33,55,0,5,1,1,5,47,0,US-SR24,,1,0,0,1,57,2,0,4,0,37,2010,6,470694,0,4,234,3,1,0,28,1,0,2,-86.61681667,29,4
