,Unnamed: 0,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view,geometry,source,DAY_WEEK,CITY,RAIL,MAN_COLL,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,DAY,cluster_label
36,36,,,,,36.13173889,-86.66449167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,5.0,1760.0,0000000,2.0,1.0,12.0,38.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,SR-255,99999999999999999999,2.0,0.0,0.0,1.0,99.0,3.0,0.0,1.0,0.0,37.0,2009.0,7.0,470578.0,0.0,99.0,19.0,85.0,1.0,2.0,0.0,99.0,2.0,1.0,99.0,16.0,4
37,37,,,,,36.12525833,-86.73328333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,1.0,39.0,3.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,I-440,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,1.0,2.0,0.0,37.0,2009.0,9.0,470647.0,0.0,99.0,2.0,77.0,3.0,1.0,0.0,88.0,1.0,1.0,99.0,14.0,0
38,38,,,,,36.14156944,-86.73275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,7.0,1.0,12.0,0.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-40,99999999999999999999,5.0,0.0,0.0,1.0,99.0,1.0,0.0,1.0,0.0,37.0,2009.0,8.0,470649.0,0.0,99.0,7.0,213.0,1.0,2.0,0.0,99.0,2.0,1.0,99.0,29.0,1
39,39,,,,,36.13436667,-86.77543611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,0.0,1.0,24.0,38.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,I-65,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,0.0,4.0,0.0,37.0,2009.0,9.0,470654.0,0.0,99.0,1.0,73.0,3.0,1.0,0.0,88.0,1.0,1.0,99.0,11.0,1
40,40,,,,,36.11269167,-86.89709444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,0.0,1.0,30.0,23.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,BROWNLEE DR,99999999999999999999,5.0,0.0,0.0,1.0,99.0,6.0,1.0,6.0,0.0,37.0,2009.0,4.0,470703.0,0.0,99.0,4.0,3.0,2.0,1.0,0.0,99.0,1.0,0.0,99.0,25.0,3
41,41,,,,,36.22600556,-86.76013333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,5.0,1760.0,0000000,0.0,1.0,9.0,43.0,0.0,99.0,1.0,1.0,99.0,47.0,0.0,US-SR11,99999999999999999999,4.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,10.0,470710.0,0.0,99.0,19.0,164.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,1.0,2
42,42,,,,,36.21000833,-86.71392222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,3.0,1760.0,0000000,0.0,1.0,8.0,58.0,0.0,99.0,1.0,1.0,99.0,47.0,0.0,ARDEE AVE,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,9.0,470756.0,0.0,99.0,22.0,0.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,8.0,2
43,43,,,,,36.13084444,-86.71729167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,5.0,1760.0,0000000,0.0,1.0,39.0,8.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,FOOTHILL DR,99999999999999999999,1.0,0.0,0.0,1.0,99.0,6.0,0.0,4.0,0.0,37.0,2009.0,10.0,470841.0,0.0,99.0,9.0,0.0,1.0,1.0,0.0,99.0,1.0,0.0,99.0,29.0,0
44,44,,,,,36.12526111,-86.73321389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,1.0,1760.0,0000000,0.0,1.0,1.0,13.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-440,99999999999999999999,2.0,0.0,0.0,2.0,99.0,1.0,0.0,6.0,0.0,37.0,2009.0,8.0,470842.0,0.0,99.0,3.0,73.0,3.0,1.0,0.0,99.0,1.0,1.0,99.0,23.0,0
45,45,,,,,36.06871667,-86.73665833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,1.0,1760.0,0000000,0.0,2.0,33.0,45.0,0.0,88.0,2.0,0.0,99.0,47.0,0.0,EDMONDSON PIKE,99999999999999999999,1.0,0.0,0.0,1.0,99.0,6.0,1.0,4.0,0.0,37.0,2009.0,9.0,470844.0,0.0,99.0,19.0,39.0,3.0,1.0,0.0,88.0,1.0,0.0,99.0,20.0,0
